Name;Pseudomonas_brassicacearum_strain_3Re2_7_3Re2_7 ;Pseudomonas_brassicacearum_strain_51MFCVI2 ;Pseudomonas_brassicacearum_strain_BS3663_BS3663 ;Pseudomonas_brassicacearum_strain_L13_6_12_L13_6_12 ;Pseudomonas_brassicacearum_strain_LBUM300_LBUM300 ;Pseudomonas_brassicacearum_strain_NFM421_NFM421 ;Pseudomonas_brassicacearum_strain_PA1G7 ;Pseudomonas_brassicacearum_strain_PP1_210F ;Pseudomonas_brassicacearum_strain_TM1A3 
Poly(beta-D-mannuronate) C5 epimerase 5;1;1;1;1;1;1;1;1;1
hypothetical protein18;1;1;1;1;1;1;1;1;1
hypothetical protein19;1;1;1;1;1;1;1;1;1
Protoheme IX farnesyltransferase;1;1;1;1;1;1;1;1;1
Heme A synthase;1;1;1;1;1;1;1;1;1
hypothetical protein20;1;1;1;1;1;1;1;1;1
SURF1 family protein;1;1;1;1;1;1;1;1;1
hypothetical protein21;1;1;1;1;1;1;1;1;1
Cytochrome c oxidase subunit 3;1;1;1;1;1;1;1;1;1
Cytochrome c oxidase assembly protein CtaG;1;1;1;1;1;1;1;1;1
Cytochrome c oxidase subunit 1;1;1;1;1;1;1;1;1;1
Cytochrome c oxidase subunit 2 precursor;1;1;1;1;1;1;1;1;1
hypothetical protein22;1;1;1;1;1;1;1;1;1
C4-dicarboxylic acid transporter DauA;1;1;1;1;1;1;1;1;1
Carbonic anhydrase 1;1;1;1;1;1;1;1;1;1
Radical SAM superfamily protein;1;1;1;1;1;1;1;1;1
Tyrosine phosphatase family protein;1;1;1;1;1;1;1;1;1
Oligopeptidase A;1;1;1;1;1;1;1;1;1
hypothetical protein23;1;1;1;1;1;1;1;1;1
Oligopeptidase A;1;1;1;1;1;1;1;1;1
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase;1;1;1;1;1;1;1;1;1
5-nucleotidase;1;1;1;1;1;1;1;1;1
hypothetical protein24;1;0;1;0;0;0;0;0;0
Transposase IS200 like protein;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator VirS;1;1;1;1;1;1;1;1;1
L-asparaginase 1;1;1;1;1;1;1;1;1;1
Amino-acid carrier protein AlsT;1;1;1;1;1;1;1;1;1
Aspartate ammonia-lyase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator YjiE;1;1;1;1;1;1;1;1;1
N5-carboxyaminoimidazole ribonucleotide mutase;1;1;1;1;1;1;1;1;1
N5-carboxyaminoimidazole ribonucleotide synthase;1;1;1;1;1;1;1;1;1
hypothetical protein25;1;1;1;1;1;1;1;1;1
hypothetical protein26;1;1;1;1;1;1;1;1;1
Putative glucose-6-phosphate 1-epimerase;1;1;1;1;1;1;1;1;1
putative acyl-CoA thioester hydrolase;1;1;1;1;1;1;1;1;1
Proline/betaine transporter;1;1;1;1;1;1;1;1;1
Phosphate-binding protein PstS precursor;1;1;1;1;1;1;1;1;1
Phosphate transport system permease protein PstA;1;1;1;1;1;1;1;1;1
Phosphate import ATP-binding protein PstB;1;1;1;1;1;1;1;1;1
Phosphate-specific transport system accessory protein PhoU;1;1;1;1;1;1;1;1;1
Chemotaxis protein CheY;1;1;1;1;1;1;1;1;1
hypothetical protein27;1;1;1;1;1;1;1;1;1
Murein DD-endopeptidase MepM;1;1;1;1;1;1;1;1;1
Magnesium and cobalt efflux protein CorC;1;1;1;1;1;1;1;1;1
Phosphate regulon sensor protein PhoR;1;1;1;1;1;1;1;1;1
Phosphate regulon transcriptional regulatory protein PhoB;1;1;1;1;1;1;1;1;1
Secreted repeat of unknown function;1;1;1;1;1;1;1;1;1
4-hydroxybenzoate octaprenyltransferase;1;1;1;1;1;1;1;1;1
Chorismate pyruvate-lyase;1;1;1;1;1;1;1;1;1
Rubredoxin-1;1;1;1;1;1;1;1;1;1
Rubredoxin-NAD(+) reductase;1;1;1;1;1;1;1;1;1
DNA-binding protein HU-beta;1;1;1;1;1;1;1;1;1
hypothetical protein28;1;1;1;1;1;1;1;1;1
hypothetical protein29;1;1;1;1;1;1;1;1;1
hypothetical protein30;1;1;1;1;1;1;1;1;1
hypothetical protein31;1;1;1;1;1;1;1;1;1
Peroxiredoxin OsmC;1;1;1;1;1;1;1;1;1
Limonene 1,2-monooxygenase;1;1;1;1;1;1;1;1;1
hypothetical protein32;1;1;1;1;1;1;1;1;1
hypothetical protein33;1;1;1;1;1;1;1;1;1
hypothetical protein34;1;1;1;1;1;1;1;1;1
Glycine cleavage system transcriptional activator;1;1;1;1;1;1;1;1;1
Tryptophan synthase beta chain;1;1;1;1;1;1;1;1;1
Tryptophan synthase alpha chain;1;1;1;1;1;1;1;1;1
hypothetical protein35;1;1;1;1;1;1;1;1;1
hypothetical protein36;1;1;1;1;1;1;1;1;1
hypothetical protein37;1;1;1;1;1;1;1;1;1
hypothetical protein38;1;1;1;1;1;1;1;1;1
hypothetical protein39;1;1;1;1;1;1;1;1;1
Succinyl-CoA:coenzyme A transferase;1;1;1;1;1;1;1;1;1
NAD(P) transhydrogenase subunit beta;1;1;1;1;1;1;1;1;1
NAD(P) transhydrogenase subunit alpha;1;1;1;1;1;1;1;1;1
NAD(P) transhydrogenase subunit alpha part 1;1;1;1;1;1;1;1;1;1
Glycine cleavage system transcriptional activator;1;1;1;1;1;1;1;1;1
Acyl-CoA dehydrogenase;1;1;1;1;1;1;1;1;1
Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsF;1;1;1;1;1;1;1;1;1
hypothetical protein40;1;1;1;1;1;1;1;1;1
hypothetical protein41;1;1;1;1;1;1;1;1;1
Poly-beta-1,6-N-acetyl-D-glucosamine export protein precursor;1;1;1;1;1;1;1;1;1
Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase precursor;1;1;1;1;1;1;1;1;1
Poly-beta-1,6-N-acetyl-D-glucosamine synthase;1;1;1;1;1;1;1;1;1
Biofilm PGA synthesis protein PgaD;1;1;1;1;1;1;1;1;1
Benzene 1,2-dioxygenase system ferredoxin--NAD(+) reductase subunit;1;1;1;1;1;1;1;1;1
putative kinase inhibitor;1;1;1;1;1;1;1;1;1
hypothetical protein42;1;1;1;1;1;1;1;1;1
Proline/betaine transporter;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
Phenolphthiocerol synthesis polyketide synthase type I Pks15/1;1;1;1;1;1;1;1;1;1
hypothetical protein43;1;1;1;1;1;1;1;1;1
von Willebrand factor;1;1;1;1;1;1;1;1;1
ECF RNA polymerase sigma factor RpoE;1;1;1;1;1;1;1;1;1
hypothetical protein44;1;1;1;1;1;1;1;1;1
Glutarate-semialdehyde dehydrogenase DavD;1;1;1;1;1;1;1;1;1
5-aminovalerate aminotransferase DavT;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein AfsQ1;1;1;1;1;1;1;1;1;1
putative diguanylate cyclase YdaM;1;1;1;1;1;1;1;1;1
Fatty acid desaturase;1;1;1;1;1;1;1;1;1
Cyclic di-GMP phosphodiesterase Gmr;1;1;1;1;1;1;1;1;1
hypothetical protein45;1;1;1;1;1;1;0;1;1
hypothetical protein46;1;1;1;1;1;1;1;1;1
Sulfate-binding protein precursor;1;1;1;1;1;1;1;1;1
Sulfate transport system permease protein CysT;1;1;1;1;1;1;1;1;1
Sulfate transport system permease protein CysW;1;1;1;1;1;1;1;0;1
Sulfate/thiosulfate import ATP-binding protein CysA;1;1;1;1;1;1;1;1;1
hypothetical protein47;1;1;1;1;1;1;1;1;1
hypothetical protein48;1;1;1;1;1;1;1;1;1
Fructose dehydrogenase large subunit;1;1;1;1;1;1;1;1;1
hypothetical protein49;1;1;1;1;1;1;1;1;1
cAMP receptor protein;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator VirS;1;1;1;1;1;1;1;1;1
Fatty acid desaturase;1;1;1;1;1;1;1;1;1
Ferrichrome-iron receptor precursor;1;1;1;1;1;1;1;1;1
fec operon regulator FecR;1;1;1;1;1;1;1;1;1
putative RNA polymerase sigma factor FecI;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein PctA;1;1;1;1;1;1;1;1;1
Polyketide cyclase / dehydrase and lipid transport;1;1;1;1;1;1;1;1;1
Linear gramicidin synthase subunit D;1;1;1;1;1;1;1;1;1
P-aminobenzoate N-oxygenase AurF;1;1;1;1;1;1;1;1;1
hypothetical protein50;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator McbR;1;1;1;1;1;1;1;1;1
hypothetical protein51;1;1;1;1;1;1;1;1;1
RNase E specificity factor CsrD;1;1;1;1;1;1;1;1;1
hypothetical protein52;1;1;1;0;0;1;1;1;1
hypothetical protein53;1;1;1;1;1;1;1;1;0
hypothetical protein54;1;1;1;1;1;1;1;1;1
Leukotoxin;1;0;1;1;1;1;0;0;1
Outer membrane efflux protein BepC precursor;1;1;1;1;1;1;1;1;1
Toxin RTX-I translocation ATP-binding protein;1;1;1;1;1;1;1;1;1
Type I secretion system membrane fusion protein PrsE;1;1;1;1;1;1;1;1;1
Alpha-ketoglutarate-dependent taurine dioxygenase;1;1;1;1;1;1;1;1;1
alkanesulfonate transporter substrate-binding subunit;1;1;1;1;1;1;1;1;1
Bicarbonate transport ATP-binding protein CmpD;1;1;1;1;1;1;1;1;1
Putative aliphatic sulfonates transport permease protein SsuC;1;1;1;1;1;1;1;1;1
hypothetical protein55;1;1;1;1;1;1;1;1;1
hypothetical protein56;1;1;1;1;1;1;1;1;1
Epimerase family protein;1;1;1;1;1;1;1;1;1
phosphoenolpyruvate synthase;1;1;1;1;1;1;1;1;1
Multidrug resistance protein MdtA precursor;1;1;1;1;1;1;1;1;1
multidrug resistance protein MdtN;1;1;1;1;1;1;1;1;1
multidrug resistance protein MdtN;1;1;1;1;1;1;1;1;1
Acetyltransferase (GNAT) family protein;1;1;1;1;1;1;1;1;1
hypothetical protein57;1;1;1;1;1;1;1;1;1
Phage Tail Collar Domain protein;1;1;1;1;1;1;1;1;1
Sulfotransferase domain protein;1;1;1;1;1;1;1;1;1
BNR/Asp-box repeat protein;1;1;1;1;1;1;1;1;1
Outer membrane efflux protein;1;1;1;1;1;1;1;1;1
L-proline cis-4-hydroxylase;1;1;1;1;1;1;1;1;1
hypothetical protein58;1;1;1;1;1;1;1;1;1
Modulator of FtsH protease HflK;1;1;1;1;1;1;1;1;1
hypothetical protein59;1;1;1;1;1;1;1;1;1
hypothetical protein60;1;1;1;1;1;1;1;1;1
Alpha/beta hydrolase family protein;1;1;1;1;1;1;1;1;1
Propionate catabolism operon regulatory protein;1;1;1;1;1;1;1;1;1
hypothetical protein61;1;1;1;1;1;1;1;1;1
tRNA nuclease WapA precursor;1;1;1;1;1;1;1;1;1
Methionine-binding lipoprotein MetQ precursor;1;1;1;1;1;1;1;1;1
hypothetical protein62;1;1;1;1;1;1;1;1;1
DNA replication and repair protein RecF;1;1;1;1;1;1;1;1;1
Multidrug resistance protein MdtE precursor;1;1;1;1;1;1;1;1;1
Multidrug resistance protein MdtA precursor;1;1;1;1;1;1;1;1;1
Cobalt-zinc-cadmium resistance protein CzcA;1;1;1;1;1;1;1;1;1
hypothetical protein63;1;0;1;1;0;1;0;0;0
putative cadmium-transporting ATPase;1;1;1;1;1;1;1;1;1
Mercuric resistance operon regulatory protein;1;1;1;1;1;1;1;1;1
Thymidylate synthase;1;1;1;1;1;1;1;1;1
Prolipoprotein diacylglyceryl transferase;1;1;1;1;1;1;1;1;1
Sulfite exporter TauE/SafE;1;1;1;1;1;1;1;1;1
hypothetical protein64;1;1;1;1;1;1;1;1;1
Phosphoenolpyruvate-protein phosphotransferase;1;1;1;1;1;1;1;1;1
RNA pyrophosphohydrolase;1;1;1;1;1;1;1;1;1
Phosphoserine phosphatase;1;1;1;1;1;1;1;1;1
hypothetical protein65;1;1;1;1;1;1;1;1;1
L-threonine dehydratase biosynthetic IlvA;1;1;1;1;1;1;1;1;1
Ribose-5-phosphate isomerase A;1;1;1;1;1;1;1;1;1
SdiA-regulated;1;1;1;1;1;1;1;1;1
SdiA-regulated;1;1;1;1;1;1;1;1;1
Ureidoglycolate lyase;1;1;1;1;1;1;1;1;1
putative FAD-linked oxidoreductase;1;1;1;1;1;1;1;1;1
D-3-phosphoglycerate dehydrogenase;1;1;1;1;1;1;1;1;1
hypothetical protein66;1;1;1;1;1;1;1;1;1
putative amino-acid-binding protein YxeM precursor;1;1;1;1;1;1;1;1;1
hypothetical protein67;1;1;1;1;1;1;1;1;1
D-methionine transport system permease protein MetI;1;1;1;1;1;1;1;1;1
Methionine import ATP-binding protein MetN;1;1;1;1;1;1;1;1;1
D-methionine-binding lipoprotein MetQ precursor;1;1;1;1;1;1;1;1;1
Dimethyl-sulfide monooxygenase;1;1;1;1;1;1;1;1;1
Dibenzothiophene desulfurization enzyme C;1;1;1;1;1;1;1;1;1
Dibenzothiophene desulfurization enzyme C;1;1;1;1;1;1;1;1;1
hypothetical protein68;1;1;1;1;1;1;1;1;1
L-cystine import ATP-binding protein TcyC;1;1;1;1;1;1;1;1;1
Inner membrane amino-acid ABC transporter permease protein YecS;1;1;1;1;1;1;1;1;1
Cystine-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
D-cysteine desulfhydrase;1;1;1;1;1;1;1;1;1
High-affinity choline transport protein;1;1;1;1;1;1;1;1;1
3-oxoacyl-[acyl-carrier-protein] reductase FabG;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
L-glyceraldehyde 3-phosphate reductase;1;1;1;1;1;1;1;1;1
Alpha-ketoglutarate-dependent taurine dioxygenase;1;1;1;1;1;1;1;1;1
Putative aliphatic sulfonates transport permease protein SsuC;1;1;1;1;1;1;1;1;1
Taurine import ATP-binding protein TauB;1;1;1;1;1;1;1;1;1
Taurine-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
Glutamate--cysteine ligase;1;1;1;1;1;1;1;1;1
Acyl-coenzyme A thioesterase PaaI;1;1;1;1;1;1;1;1;1
30S Ribosomal protein S1;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein OmpR;1;1;1;1;1;1;1;1;1
Osmolarity sensor protein EnvZ;1;1;1;1;1;1;1;1;1
Ribosomal protein S6 modification protein;1;1;1;1;1;1;1;1;1
hypothetical protein69;1;1;1;1;1;1;1;1;1
Heat shock protein 15;1;1;1;1;1;1;1;1;1
33 kDa chaperonin;1;1;1;1;1;1;1;1;1
Phosphoenolpyruvate carboxykinase [ATP];1;1;1;1;1;1;1;1;1
hypothetical protein70;1;1;1;1;1;1;1;1;1
Colicin-E3;1;1;1;1;1;1;1;1;1
hypothetical protein71;1;1;1;1;1;1;1;1;1
ATP-dependent DNA helicase RecQ;1;1;1;1;1;1;1;1;1
Fatty acid oxidation complex subunit alpha;1;1;1;1;1;1;1;1;1
1,4-dihydroxy-2-naphthoyl-CoA hydrolase;1;1;1;1;1;1;1;1;1
Glycine zipper 2TM domain protein;1;1;1;1;1;1;1;1;1
Formate dehydrogenase H;1;1;1;1;1;1;1;1;1
formate dehydrogenase accessory protein;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator CynR;1;1;1;1;1;1;1;1;1
LysM domain/BON superfamily protein;1;1;1;1;1;1;1;1;1
GMP/IMP nucleotidase YrfG;1;1;1;1;1;1;1;1;1
ADP compounds hydrolase NudE;1;1;1;1;1;1;1;1;1
3(2),5-bisphosphate nucleotidase CysQ;1;1;1;1;1;1;1;1;1
Putative thioesterase (yiiD_Cterm);1;1;1;1;1;1;1;1;1
C4-dicarboxylate transport transcriptional regulatory protein DctD;1;1;1;1;1;1;1;1;1
C4-dicarboxylate transport sensor protein DctB;1;1;1;1;1;1;1;1;1
dTDP-4-dehydrorhamnose reductase;1;1;1;1;1;1;1;1;1
dTDP-4-dehydrorhamnose 3,5-epimerase;1;1;1;1;1;1;1;1;1
Glucose-1-phosphate thymidylyltransferase 2;1;1;1;1;1;1;1;1;1
dTDP-glucose 4,6-dehydratase 2;1;1;1;1;1;1;1;1;1
2,2-dialkylglycine decarboxylase;1;1;1;1;1;1;1;1;1
Agmatine deiminase;1;1;1;1;1;1;1;1;1
hypothetical protein72;1;1;1;1;1;1;1;1;1
DSBA-like thioredoxin domain protein;1;1;1;1;1;1;1;1;1
Porin D precursor;1;1;1;1;1;1;1;1;1
hypothetical protein73;1;1;1;1;1;1;1;1;1
putative acetyltransferase;1;1;1;1;1;1;1;1;1
Inner membrane protein YgaZ;1;1;1;1;1;1;1;1;1
Branched-chain amino acid transport protein (AzlD);1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator GltC;1;1;1;1;1;1;1;1;1
hypothetical protein74;1;1;1;1;1;1;1;1;1
RES domain protein;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein PctC;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
Cyclic-di-GMP-binding biofilm dispersal mediator protein;1;1;1;1;1;1;1;1;1
HicB family protein;1;1;1;1;1;1;1;1;1
hypothetical protein75;1;1;1;1;1;1;1;1;1
Abi-like protein;1;1;1;1;1;1;0;1;0
hypothetical protein76;1;1;1;1;1;1;1;1;1
hypothetical protein77;1;1;1;1;1;1;1;1;1
Octopine transport system permease protein OccM;1;1;1;1;1;1;1;1;1
Arginine ABC transporter permease protein ArtQ;1;1;1;1;1;1;1;1;1
ABC transporter arginine-binding protein 1 precursor;1;1;1;1;1;1;1;1;1
Octopine permease ATP-binding protein P;1;1;1;1;1;1;1;1;1
hypothetical protein78;1;1;1;1;1;1;1;1;1
hypothetical protein79;1;1;1;1;1;1;1;1;1
hypothetical protein80;1;1;1;1;1;1;1;1;1
Phytochrome-like protein cph1;1;1;1;1;1;1;1;1;1
Heme oxygenase;1;1;1;1;1;1;1;1;1
hypothetical protein81;1;1;1;1;1;1;1;1;1
hypothetical protein82;1;1;1;1;1;1;1;1;1
hypothetical protein83;1;1;1;1;1;1;1;1;1
putative Fe(2+)-trafficking protein;1;1;1;1;1;1;1;1;1
A/G-specific adenine glycosylase;1;1;1;1;1;1;1;1;1
putative assembly protein;1;1;1;1;1;1;1;1;1
Mycothiol acetyltransferase;1;1;1;1;1;1;1;1;1
Oxalate:formate antiporter;1;1;1;1;1;1;1;1;1
Imidazoleglycerol-phosphate dehydratase;1;1;1;1;1;1;1;1;1
Imidazole glycerol phosphate synthase subunit HisH 1;1;1;1;1;1;1;1;1;1
hypothetical protein84;1;1;1;1;1;1;1;1;1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase;1;1;1;1;1;1;1;1;1
Imidazole glycerol phosphate synthase subunit HisF;1;1;1;1;1;1;1;1;1
Bacterial extracellular solute-binding proteins, family 3;1;1;1;1;1;1;1;1;1
Divergent polysaccharide deacetylase;1;1;1;1;1;1;1;1;1
Carboxy-terminal processing protease CtpB precursor;1;1;1;1;1;1;1;1;1
Murein hydrolase activator EnvC precursor;1;1;1;1;1;1;1;1;1
2,3-bisphosphoglycerate-independent phosphoglycerate mutase;1;1;1;1;1;1;1;1;1
molybdopterin biosynthesis protein MoeB;1;1;1;1;1;1;1;1;1
Glutaredoxin-3;1;1;1;1;1;1;1;1;1
Protein-export protein SecB;1;1;1;1;1;1;1;1;1
tRNA (cytidine(34)-2-O)-methyltransferase;1;1;1;1;1;1;1;1;1
hypothetical protein85;1;1;1;1;1;1;1;1;1
hypothetical protein86;1;1;1;1;1;1;1;1;1
Nitrogen regulation protein NR(I);1;1;1;1;1;1;1;1;1
Nitrogen regulation protein NR(II);1;1;1;1;1;1;1;1;1
hypothetical protein87;1;1;1;1;1;1;1;1;1
hypothetical protein88;1;1;1;1;1;1;1;1;1
Monofunctional chorismate mutase precursor;1;1;1;1;1;1;1;1;1
Glutamine synthetase;1;1;1;1;1;1;1;1;1
tRNA sulfurtransferase;1;1;1;1;1;1;1;1;1
GTP-binding protein TypA/BipA;1;1;1;1;1;1;1;1;1
Flagellin N-methylase;1;1;1;1;1;1;1;1;1
Maltodextrin phosphorylase;1;1;1;1;1;1;1;1;1
hypothetical protein89;1;1;1;1;1;1;1;1;1
hypothetical protein90;1;1;1;1;1;1;1;1;1
Fructose-1,6-bisphosphatase class 1;1;1;1;1;1;1;1;1;1
hypothetical protein91;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein PctC;1;1;1;1;1;1;1;1;1
hypothetical protein92;1;1;1;1;1;1;1;1;1
Outer membrane lipoprotein Blc precursor;1;1;1;1;1;1;1;1;1
8-oxoguanine deaminase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional repressor YvoA;1;1;1;1;1;1;1;1;1
hypothetical protein93;1;1;1;1;1;1;1;1;1
Urocanate hydratase;1;1;1;1;1;1;1;1;1
putative allantoin permease;1;1;1;1;1;1;1;1;1
Glycine betaine-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
Glycine betaine transport system permease protein OpuAB;1;1;1;1;1;1;1;1;1
Glycine betaine transport ATP-binding protein OpuAA;1;1;1;1;1;1;1;1;1
Histidine ammonia-lyase;1;1;1;1;1;1;1;1;1
Histidine ammonia-lyase;1;1;1;1;1;1;1;1;1
Imidazolonepropionase;1;1;1;1;1;1;1;1;1
N-formylglutamate amidohydrolase;1;1;1;1;1;1;1;1;1
Glycine betaine/carnitine transport binding protein GbuC precursor;1;1;1;1;1;1;1;1;1
Carboxylesterase NlhH;1;1;1;1;1;1;1;1;1
